Cars,Trucks,Motorcycles,Buses,Car_Weight(kg),Truck_Weight(kg),Motorcycle_Weight(kg),Bus_Weight(kg),Avg_Speed(m/s),Avg_Weight(kg),Incident_Count,Surface Roughness (m/km),Road Age (years),temperature(°C)_x,rainfall(mm)_x,humidity(%)_x,wind_speed(m/s)_x,average_temperature(°C)_x,weather_condition_x,Wear_Index
1592,24,87,47,2588,10538,476,3692,14.951974431409736,2497.293699044393,9,5.7705468096858805,29,32.672854769378446,2.1535260436910386,58.22341748028956,22.661012144376496,20.45078015342588,Pleasant,826.8458492903534
738,141,414,13,1726,9504,103,5852,10.230306758544538,2412.0084825135464,0,5.210233231117631,41,18.71514043368629,12.322089660940014,61.70206487881131,4.226602168439916,17.718750220302315,Clear skies,503.1121083841972
1903,129,489,30,1538,13695,454,2179,17.373211905312168,2912.116977214782,2,5.539701802301646,8,12.377188793482173,6.779695093104028,40.84798074945606,24.02456698688119,19.086737750621715,Clear skies,1088.1144931295448
1817,106,469,35,2866,6690,132,7749,22.96675727089025,1424.7029817199536,3,5.482259686928636,33,37.65041320637464,10.38376799545244,54.75069827438439,18.83212250162678,25.07544427119377,Stormy,1034.8027675022115
1346,282,336,44,3183,12627,286,9616,15.954915442300525,1179.5133478659188,4,4.435855383321707,49,14.97849547906209,3.116960557092452,98.47612744809685,17.194777497968047,16.70197734331344,Clear skies,825.094927382222
1459,169,233,2,3573,8302,151,3968,14.432136087174127,2421.0839515712423,6,4.286233730539956,31,21.549790798429207,4.015643757553997,57.39421353517254,23.493612442104403,19.40719242958433,Clear skies,834.6961699829019
197,279,446,20,1263,6496,362,8034,10.101028362977193,2157.797183041671,3,2.685518930375613,47,18.265499338691654,16.844260435793778,60.15714368124576,25.90994529539182,22.98567659451878,Stormy,272.1693694882532
413,245,217,36,3154,5949,376,9365,21.573781320181663,1192.5256086357908,4,4.191052385587495,39,25.89000069435572,18.90900095148348,71.78335932177524,4.764907333319735,24.90210303229826,Rainy,330.2309839520247
112,119,437,20,3327,6803,207,3222,18.766350641943887,2779.298396829009,6,5.966193985947693,12,10.342212288409478,16.842238728563714,70.51550558863836,17.10049878350714,29.34272476010512,Stormy,183.9987808896244
1225,279,497,33,3710,12370,297,3907,6.787913985495413,2702.510777283628,3,5.47581569949681,36,16.583545181274225,3.8901863002169534,80.92725212483302,20.38123205304881,29.0638047385722,Stormy,805.4376234530331
947,73,283,0,3695,10831,433,9355,21.94490079425923,2203.580740753182,7,5.371659460607814,30,32.68795513680302,18.099708920344877,40.774044999470135,24.740684432118275,29.47270874989818,Rainy,555.8650161732343
923,182,226,38,4147,13301,436,8640,9.226242647955251,1704.4148141904311,0,5.47640640883364,36,24.41718622019463,12.989009316102418,69.39518271306065,20.382914802304903,32.19066120777178,Stormy,566.9672731264957
754,176,115,14,4376,8763,410,4702,22.59659505879877,2368.242255558299,8,3.242313051100392,34,13.17892289363096,8.380740829185044,75.63410076512915,2.988643395350884,16.455597443749735,Clear skies,453.349167568417
273,143,177,36,2959,12110,179,6219,16.998282574772105,2048.544907151629,6,3.255138358774854,43,25.94637914405385,10.567886083103993,97.97196341266304,10.282038826137894,29.171481555661884,Rainy,218.3457862309289
1591,255,440,33,1120,10445,130,5565,7.020039599308888,2925.3881470224323,1,3.619567319259596,45,25.140952150285145,6.676032965356519,85.55425087888679,22.130527790647825,21.77463878620497,Clear skies,966.4586714848474
1549,60,306,1,3417,11707,229,7040,7.997734598666977,1856.073770973,7,3.7404538966449463,28,25.52489863523787,4.807561432649927,92.23426803607812,6.747890944065267,30.77538188556546,Stormy,858.7801791702876
977,82,238,31,1632,12135,230,3366,5.088088914383031,2197.4941635270447,4,3.4171304349230764,42,29.84795732158269,10.828789983995511,95.00880383437786,16.983698062565587,24.244506440586814,Stormy,569.1800369367567
947,73,225,23,1509,12118,218,6434,10.424313401217356,2366.1257282670176,1,4.663301670181209,42,27.15450560778448,15.762713344976234,97.28666363493907,2.1770670831285357,23.38534724256816,Clear skies,545.4403404116729
1558,288,488,12,3619,13645,267,7743,24.579089993222794,2953.6993057420705,6,3.021335146633976,18,21.35471360794117,11.18076597825186,42.37357576434664,8.91294043716943,23.19901527539802,Pleasant,972.2958837392572
278,87,109,16,3882,12527,428,5747,19.160149919800297,1204.9912340619758,9,2.6359072334707254,22,17.616645700995775,13.924983978073628,81.26828630808842,26.24760683174611,29.20005928233952,Pleasant,190.1424037602947
858,274,166,12,2821,10319,160,6924,23.103228877458445,1626.5054171540382,4,3.978540029393336,42,15.013792170080846,1.944567469756309,86.65435219736978,1.824445006385004,26.07189384634224,Pleasant,547.1830989550488
185,45,89,27,4772,10522,327,9767,7.2473395051168605,2092.975009060908,4,4.883843307544489,43,12.654109509013338,3.508900895182689,99.96005644684094,13.742073621607712,20.36923232805332,Stormy,128.64709067766643
739,56,152,34,3290,5444,249,4794,9.912949376616982,1979.8786717764008,3,5.613083981641351,29,10.912820317603485,9.786359584260987,50.98479076533038,23.83555010413139,25.90825430789577,Clear skies,418.2840663223285
275,273,407,0,4675,9720,295,8301,12.12624397304487,2404.642547740036,3,4.260456740307914,33,31.96127061679561,14.55756607057744,51.492782231364,20.78098895303236,15.609411200736336,Pleasant,310.4870141778118
1185,57,497,18,1529,11615,485,4745,22.691771259428247,1382.0970079475862,6,5.7462476125447886,17,32.09012442198268,1.36994476442583,82.0755320502054,11.16242545915364,24.77800111997588,Rainy,718.4396607000672
1141,245,196,25,1779,10514,267,4973,11.210536947731022,1655.1620241121775,5,5.87369138614539,41,29.89096005345301,14.601922422288736,75.55280844134646,22.66035643463644,15.61337761218738,Stormy,690.474901417803
582,182,260,24,3425,10907,352,8227,15.101814361212522,1398.0261504018554,8,4.92509923315464,6,12.603694254988884,4.394277754352887,73.99963890132817,4.77578017193442,19.217738565300497,Pleasant,398.5669658063085
238,93,242,10,1271,13020,460,4004,7.211098269075043,1595.978437230758,3,4.321662940362566,18,35.62420651346824,7.12980698512575,85.15389926276764,3.3293693194555773,34.62233110730482,Stormy,196.5558848594132
1036,192,415,36,3438,14199,204,9873,21.649377459045468,1811.1916759926503,4,2.9204251304699675,42,24.412998274736776,11.304051009641466,51.4721533462554,1.8874476177752408,32.53206931047474,Rainy,662.0350013473453
1610,144,384,46,3028,9556,167,2120,6.666919191878802,2521.03023070272,8,4.708729642155276,21,16.485109013308776,9.494533112898624,94.43252067108224,19.164675816563754,22.96292069470069,Clear skies,931.6484098088584
778,26,154,16,3860,14435,135,2050,19.695371034792903,2064.06639722055,3,5.545057781943111,25,17.381992591479595,18.57100402793268,65.34946324868372,28.68246718203419,33.71538721181952,Stormy,432.2245372040427
514,82,307,8,1822,6490,266,8088,19.89889374994202,1531.9249951829404,5,4.605881448913655,35,36.51499641032602,1.7736238953431172,70.01851757097185,5.113244139565044,26.96477317474884,Clear skies,350.91724921975447
1019,125,68,47,2707,11542,325,4509,18.310409887670588,1298.123555004319,2,4.150874107894168,11,14.537563433463704,3.2190600694111,95.85341338561352,7.702220648829991,21.495144524863772,Stormy,568.6133880536088
1863,222,349,14,3641,7399,364,2579,5.392418874037097,2398.602658951256,4,2.5694696137766897,22,35.9228268066339,7.529353901348674,92.7451622075264,17.575792841402784,15.51706830491213,Stormy,1075.691305447359
1954,63,450,27,3635,13429,480,3066,16.965835477145465,1560.336715141893,9,5.1248585457718,23,13.069154390477795,13.700524654125363,73.98417988425335,19.74621204884433,20.17300691076425,Stormy,1094.8077006515266
318,193,388,33,3524,11326,390,4462,15.757629598615532,2687.608897290824,5,3.728820400521317,13,18.973426461590005,11.88066406670236,81.63664641234537,28.385700327332454,16.131304653815608,Pleasant,304.4414952957789
1837,258,459,22,3564,14495,242,4868,22.66280139221483,2767.4742857097103,5,5.880851168368448,33,38.82406289336153,13.416346929697053,51.961495122683935,11.745981440005478,17.471454802381395,Stormy,1088.0474176790644
1073,227,124,37,4381,5080,154,4701,17.826259369337787,2534.3406985453003,6,3.8125499514945975,13,36.08704999102337,3.6552201605093138,64.73582300968148,5.711513086613897,31.88125543123688,Pleasant,634.7664099013607
489,201,187,36,4789,12779,183,4744,7.668626826088891,1906.2940605881531,4,4.722149060321073,41,17.435290626465935,19.303355751741137,51.789664247274615,12.687037675345556,16.348730081519417,Rainy,346.9822718633318
1018,65,332,19,1393,9063,405,5703,22.88653755688378,1980.9814758989496,1,5.490876642573885,10,18.164115383871067,4.061164907735966,83.88047858631265,16.920919601127313,22.536444298434034,Rainy,599.4329334237573
1083,107,251,6,1092,8136,345,4522,19.63788960584697,1876.220049838668,9,3.6120887193629687,32,25.08485590119702,8.019854793621644,47.4273257596218,24.29824279192654,20.559163780284145,Clear skies,624.4974035933142
219,225,131,43,3565,6775,108,7774,19.54199957527765,2678.2497307492504,8,5.27893857428073,10,23.727322983449284,12.083477887383443,70.28782311455093,2.2188342468987177,23.025383676170332,Clear skies,206.596703948227
822,55,243,19,1982,12160,180,3516,16.24818872805833,2778.5756039456546,2,2.579203244183637,40,18.39305112774044,14.08712553828176,44.97770324648853,7.527142468550917,30.787002141985937,Rainy,484.80471277620506
1257,8,457,37,4151,12165,425,9484,11.98425330528192,1220.2464241004086,7,5.213873981995828,26,10.99150973328098,10.73598906418562,96.41909387332063,26.4380636394868,33.17488687836096,Pleasant,728.0545907265207
523,150,351,23,4308,5632,371,7533,5.005163497383283,1189.9976753807598,1,3.7683424051520618,26,17.447455605002634,17.390650906977886,40.74833824924678,22.46100019899359,19.834096110904564,Pleasant,377.3699698717547
1107,173,152,48,3869,9834,185,6067,19.14522093582464,2552.0256014777715,6,2.737252139033421,46,24.27726138564787,14.808833315922222,66.64209747069935,1.7651973195820725,27.113624070377888,Stormy,645.7115424387539
217,243,144,38,3744,9108,104,8120,19.819984320923115,2472.666241094138,4,5.623981540249661,18,10.200182690876089,16.337609165496154,66.00986443747965,15.88746669081632,29.10920108276949,Clear skies,219.5379432485912
1356,7,412,5,1792,12594,251,9596,21.14417178073021,1986.1142169410327,6,3.6941484309469033,42,19.387360805823604,1.6194007231258456,42.17278507070144,26.89685321591601,23.73249788504961,Stormy,768.0111666401175
1569,15,451,35,4371,12532,402,6023,8.908460104281225,1164.454133032162,6,4.331439115683303,17,25.532990491385853,1.5122458538273298,97.98724441725696,14.566349557694156,19.450776595077564,Rainy,881.264426654913
1441,86,113,13,2161,8902,411,8283,13.164126214689793,2803.921391315661,5,3.063725547366815,21,36.35599015022575,8.389170031589925,87.24070580237307,25.71502726337852,28.63047882477972,Clear skies,769.154465625586
387,241,69,10,2475,9904,232,9457,24.363938384812023,2385.318576935796,7,4.41744973517983,22,12.236414243429843,16.971091444229245,59.55408072306669,10.628899438953852,27.45293046233061,Stormy,289.00051792620144
1997,247,228,10,4695,14142,113,9756,5.10000393759997,1528.9132302553428,5,3.24471838801519,10,24.35118477997039,13.639310958291414,65.96761180203512,29.846287920663315,31.480898949436693,Pleasant,1119.1497964102489
700,98,385,6,4163,7911,230,4892,22.106480556052897,1622.7883334163405,9,2.9107495043705764,14,12.421946837132516,5.02783245250884,43.55952419410186,25.721299706968164,26.272471382171013,Rainy,459.67477481484167
767,8,268,21,1045,14571,252,7129,24.15229917312117,2368.700121617604,2,5.020329396571666,38,23.5497589380354,5.223175526932273,55.3843706251896,3.732803964077187,30.733078225488683,Stormy,449.3791719465775
757,246,282,5,3004,10208,206,8660,13.5899583275797,2139.7894175468155,2,3.782213895851432,46,36.52955970069969,7.754774263181723,73.72615862711443,23.23354489633008,25.258056745180237,Stormy,513.6604560201029
1641,234,360,43,2017,14293,262,2163,23.266860585391807,1115.3870590475738,9,4.515818629360002,45,34.025705337560865,8.186819238987049,73.49611282669684,27.836789188456923,31.063870546049884,Pleasant,965.5710892587662
795,72,487,11,4287,12741,380,6530,16.255337666198592,2153.0662047004757,8,3.236382686347784,17,26.672253697256316,6.677842068530724,88.22577363015066,8.860645712762686,34.204602429444336,Stormy,517.6532817956052
555,253,259,20,1392,9702,304,2239,23.019526132507018,1959.0597978600367,6,4.90631374171651,42,27.122398342039894,17.499047256291334,59.3036576891157,6.672288316737456,30.017046741798577,Clear skies,409.01064985898273
332,238,458,21,4272,7968,266,2544,5.905464358958508,1749.5164120219847,6,4.970169984074058,9,36.61081191781459,5.860824730584929,99.78738562596097,13.52828987422562,30.837797279064823,Clear skies,337.4090518536203
467,2,427,30,4490,7515,217,8025,8.739840409031267,2087.653393899589,4,3.728581953853778,27,27.77697710995496,7.041030657196925,89.40439106400419,14.48727568736374,20.640659783335263,Pleasant,322.8847689590176
1718,233,491,2,1392,14268,288,7486,22.150167550668243,1614.148949717092,6,3.1929158943368097,47,13.399794903840682,5.477274310232748,94.86024559431182,19.375225495157377,33.27785660578727,Clear skies,1028.5097398950045
1844,190,371,17,2413,10740,276,7887,7.666621268858984,2254.2455637467074,2,5.5454644898420025,36,15.141551333078612,11.314161042513792,54.958120122947015,24.72998700122628,29.17791204019381,Pleasant,1062.1231417292825
1827,187,336,25,2590,9829,221,4768,8.252212261447614,1275.6214342318958,9,4.594741095139651,25,17.0352951126159,12.483189534273627,43.29052875882174,1.711231736168266,32.139218319735186,Rainy,1046.3546754293386
1189,112,243,34,1082,12800,343,8472,22.43091849338694,1378.1950419388422,6,3.438351874663889,25,13.971021471543802,16.361593545233227,42.77776784261573,11.10814432184326,17.4559083545848,Rainy,686.3447327303203
1638,97,498,13,2543,9524,115,7691,6.473214721012424,2043.564841339256,2,5.842696129706985,36,13.991584724420306,18.59380553871052,83.7887641488291,17.356943389642865,33.96163129754584,Rainy,952.515952884758
334,279,284,11,4839,14931,171,9727,16.78105303702001,2713.560713404525,9,3.1667088352972828,3,33.65911150520725,7.774595175393005,82.85265053462476,4.589307099756988,29.493310714414964,Pleasant,312.413415329928
1788,183,226,18,4299,8631,140,8749,12.459215151546864,2725.752876511826,4,2.709543945710878,14,27.00891569222619,0.897804425277573,44.41100186286767,7.09827966551541,34.888247769093766,Rainy,995.748046595055
1965,83,394,25,2125,9024,164,3528,10.86957798129063,1108.4485569085612,1,3.389025258016949,48,20.42721400079832,19.073100677712112,52.47830350833908,13.20621230591479,27.337686736474296,Stormy,1093.2655124681587
1014,33,61,16,1880,13739,340,6643,12.3269470270393,2407.498180333389,8,4.996221492833108,24,25.943989102003854,2.600526877143139,85.4044837064297,22.25002331477242,26.030224159997204,Pleasant,533.3447782453799
1585,270,347,30,4351,13023,350,9932,12.709487213702698,1691.1657940212576,3,4.033691698764505,44,12.237590977690864,12.044316887956027,99.14341161177404,25.38399291619148,20.607993453669465,Rainy,946.7624553043148
635,122,295,10,1103,8964,220,7911,24.60990436558051,2027.8881819346532,5,4.077269326798747,5,30.51785418799772,13.769865599967703,80.11401170979678,1.7921596866085887,31.40270099854458,Rainy,417.06768330089386
1848,84,288,13,1540,8392,440,6819,11.194124739794333,2138.7887022253267,4,3.644154051415597,27,21.15893966811251,10.919131285794869,76.1468602477189,1.2657433223818004,24.4031177638856,Stormy,1013.2183291739682
554,2,321,15,1708,7089,214,9864,14.169187127966383,2279.998419789207,9,4.565419416044077,4,16.234722054204607,12.919406170031316,67.3172184098872,1.2570077017606571,24.36212435684052,Stormy,348.43738053988125
1497,67,241,35,2261,9497,341,2814,9.744989202947444,1998.2080889018985,5,4.331785697409583,3,12.231988864464558,12.971974890269376,54.90060263479339,28.619696962820083,30.915004134423803,Stormy,818.0305127854468
1904,262,111,33,1566,12074,209,5764,12.664395545156532,2607.6580578352323,0,5.083623814772235,45,16.967924890626012,6.269548956564302,60.253097544883374,2.358916083916931,33.40492752790934,Pleasant,1060.7908959668548
